idContactoCliente,Email,Telemovel
1,oscarina@di.uminho.pt,932631808
2,diomar@di.uminho.pt,926003584
3,indira@gmail.com,915755480
4,robson@sapo.pt,926338326
5,wilma@sapo.pt,933212144
6,delany@gmail.com,938478382
7,dali@live.co.pt,927799852
8,donglas@sapo.pt,918600393
9,chila@live.co.pt,917686827
10,namara@gmail.com,933888847
11,isis@sapo.pt,922615487
12,alzirinda@sapo.pt,939481763
13,mical@sapo.pt,933934446
14,iasmina@gmail.com,917888766
15,elektra@live.co.pt,933979937
16,zulaia@hotmail.com,924396954
17,marza@gmail.com,926180303
18,agnelo@di.uminho.pt,912080470
19,cacia@hotmail.com,915651525
20,erik@live.co.pt,923942512
21,aminadabe@hotmail.com,932921463
22,abelino@gmail.com,924134590
23,artemisia@hotmail.com,933874818
24,venata@gmail.com,932582671
25,rosinha@gmail.com,934320427
26,marx@di.uminho.pt,925373363
27,idilia@hotmail.com,913669002
28,simaura@gmail.com,924410619
29,santos@sapo.pt,924693411
30,castalia@di.uminho.pt,937816222
31,berangere@gmail.com,932544918
32,cisaltina@live.co.pt,933376984
33,zoia@sapo.pt,916403135
34,piera@hotmail.com,923359843
35,sulamita@sapo.pt,912906570
36,lurdite@gmail.com,918681313
37,cati@live.co.pt,935817466
38,niltom@live.co.pt,914998201
39,robson@hotmail.com,922132474
40,darcy@di.uminho.pt,924374693
41,victor@hotmail.com,913338585
42,domitila@di.uminho.pt,938399749
43,vidaul@gmail.com,923341094
44,taisia@di.uminho.pt,918867421
45,vivelinda@hotmail.com,928839144
46,ronio@gmail.com,935856628
47,zoia@hotmail.com,917039675
48,carla@hotmail.com,927549887
49,edson@sapo.pt,911690195
50,caionara@di.uminho.pt,915719301
51,milva@gmail.com,915526005
52,mariana@di.uminho.pt,924260831
53,iara@hotmail.com,934850086
54,paulo@live.co.pt,912818966
55,miria@live.co.pt,938650541
56,arabela@gmail.com,925212595
57,ivaldo@live.co.pt,918944162
58,larissa@hotmail.com,929630397
59,janique@live.co.pt,932174628
60,melice@di.uminho.pt,926841910
61,cristofe@live.co.pt,917839189
62,emiline@sapo.pt,929661043
63,daisi@sapo.pt,917959891
64,agatha@di.uminho.pt,937253798
65,andreia@gmail.com,932633567
66,radija@hotmail.com,926502831
67,lucida@di.uminho.pt,911806047
68,valente@di.uminho.pt,936609331
69,romao@gmail.com,927967694
70,andreias@gmail.com,919779237
71,andria@hotmail.com,918965174
72,joselito@gmail.com,937836008
73,leocadia@hotmail.com,934189057
74,vilsa@di.uminho.pt,934640797
75,maxfrede@hotmail.com,938548824
76,saskia@hotmail.com,936510910
77,jadir@gmail.com,912793708
78,iriza@live.co.pt,916038720
79,mayer@live.co.pt,932133918
80,sacha@hotmail.com,919309925
81,iochabel@hotmail.com,928215918
82,pieter@gmail.com,914017847
83,cisaltina@hotmail.com,912820042
84,divo@gmail.com,912622852
85,ilse@di.uminho.pt,926419982
86,mina@live.co.pt,918640946
87,oriana@gmail.com,917145521
88,modesto@di.uminho.pt,933179091
89,franklino@di.uminho.pt,925757582
90,bartolomeu@sapo.pt,914035363
91,lobelia@sapo.pt,937794835
92,bila@sapo.pt,919013565
93,sandokan@di.uminho.pt,917023385
94,jussara@di.uminho.pt,928730984
95,portocarreiro@sapo.pt,938532315
96,aleu@di.uminho.pt,932238555
97,honara@gmail.com,937872456
98,anolido@gmail.com,938946270
99,bonina@live.co.pt,927600488
100,america@live.co.pt,916608814
