idContactoFuncionario,Email,Telemovel
1,neca@gmail.com,912557320
2,dolbeth@gmail.com,927697601
3,castor@sapo.pt,924727826
4,oliveiros@di.uminho.pt,913759298
5,baltazar@di.uminho.pt,927104563
6,frazine@di.uminho.pt,914978492
7,carisa@sapo.pt,912607053
8,marcelo@gmail.com,912232827
9,londrim@live.co.pt,914276737
10,lucete@di.uminho.pt,927422690
11,suzi@sapo.pt,917171646
12,carmezinda@sapo.pt,919533883
13,carminho@sapo.pt,932973348
14,diquel@sapo.pt,914940030
15,cardinal@sapo.pt,937180623
16,eleazar@gmail.com,925547659
17,heldemaro@live.co.pt,918126314
18,lecticia@live.co.pt,938263249
19,africa@hotmail.com,916273263
20,amor@hotmail.com,935087561
