idFuncionario,Nome,Data_Nasc,idContactoFuncionario
1,"Neca Cruz",1975-07-12,1
2,"Dolbeth Domingues",1989-02-10,2
3,"Castor Oliveira",1967-04-10,3
4,"Oliveiros Carvalho",1968-10-25,4
5,"Baltazar Miranda",1989-05-08,5
6,"Frazine Fernandes",1971-06-10,6
7,"Carisa Araujo",1985-05-21,7
8,"Marcelo Leal",1990-11-09,8
9,"Londrim Rocha",1986-09-21,9
10,"Lucete Martins",1981-12-17,10
11,"Suzi Vaz",1968-03-07,11
12,"Carmezinda Maia",1943-09-06,12
13,"Carminho Andrade",1960-10-24,13
14,"Diquel Cruz",1943-03-12,14
15,"Cardinal Antunes",1981-05-23,15
16,"Eleazar Pinto",1992-07-05,16
17,"Heldemaro Pinheiro",1966-08-10,17
18,"Lecticia Castro",1990-01-06,18
19,"Africa Leite",1987-09-15,19
20,"Amor Araujo",1987-06-22,20
